bag,"a container made of thin material (such as paper, plastic, or cloth) that opens at the top and is used for holding or carrying things","noun 1.a container or receptacle of leather, plastic, cloth, paper, etc., capable of being closed at the mouth; pouch. 2.something resembling or suggesting such a receptacle. 3.a suitcase or other portable container for carrying articles, as in traveling. 4.a purse or moneybag. 5.the amount or quantity a bag can hold. 6.any of various measures of capacity. 7.a sac, as in an animal body. 8.an udder. 9.Slang. a small glassine or cellophane envelope containing a narcotic drug or a mixture of narcotics. 10.something hanging in a loose, pouchlike manner, as skin or cloth; a baggy part: He had bags under his eyes from lack of sleep.11.Baseball. base1 (def 8b). 12.Hunting. the amount of game taken, especially by one hunter in one hunting trip or over a specified period. 13.Slang. a person's avocation, hobby, major interest, or obsession: Jazz isn't my bag.a person's mood or frame of mind: The boss is in a mean bag today.an environment, condition, or situation. 14.bags. Informal. plenty; much; many (usually followed by of): bags of time; bags of money.Slang. trousers. verb (used without object), bagged, bagging. 15.to swell or bulge: A stiff breeze made the sails bag out.16.to hang loosely like an empty bag: His socks bagged at the ankles.17.to pack groceries or other items into a bag. verb (used with object), bagged, bagging. 18.to cause to swell or bulge; distend: The wind bagged the curtain.19.to put into a bag. 20.Informal. to kill or catch, as in hunting: I bagged my first deer when I was a teenager.21.Theater, clew (def 9a). interjection 22.bags! British Slang. (used to lay first claim to something): Bags it! Bags, I go first!Idioms 23.Slang. to quit, abandon, or skip: I bagged my math class today. We'd better bag the deal. I was working too hard so I decided to bag it.24.bag and baggage,  with all one's personal property: When they went to collect the rent, they found he had left, bag and baggage.completely, totally: The equipment had disappeared, bag and baggage, without even the slightest trace.25.bag of bones, an emaciated person or animal. 26.bag of tricks, a supply of expedient resources; stratagems: Maybe they will finally be honest with us, once they've run through their bag of tricks.27.hold the bag, Informal. to be forced to bear the entire blame, responsibility, or loss that was to have been shared: His accomplices flew to South America on news of the theft and left him holding the bag.28.in the bag, Informal. virtually certain; assured; definite: Her promotion is in the bag. The sale of the house is in the bag.29.old bag, Slang. an unattractive, often slatternly woman: a gossipy old bag.","bag Â (băg)n.1. a.  A container of flexible material, such as paper, plastic, or leather, that is used for carrying or storing items.b.  A handbag; a purse.c.  A piece of hand luggage, such as a suitcase or satchel.d.  A pouchlike or sagging organ or part of the body, such as a cow's udder.2.  An object that resembles a pouch.3.  Nautical  The sagging or bulging part of a sail.4.  The amount that a bag can hold.5.  An amount of game taken or legally permitted to be taken.6.  Baseball  A base.7.  Slang  An area of interest or skill: Cooking is not my bag.8.  Slang  A woman considered ugly or unkempt.v.  bagged, bagÂ·ging, bags v.tr.1.  To put into a bag: bag groceries.2.  To cause to bulge like a pouch.3.  To capture or kill as game: bagged six grouse.4.  Informal a.  To gain; acquire: He bagged a profit from the sale.b.  To capture or arrest: was bagged for trespassing.c.  To accomplish or achieve: bagged a birdie with a long putt.5.  Slang a.  To fail to attend purposely; skip: bagged classes for the day and went to the beach.b.  To stop doing or considering; abandon: bagged the idea and started from scratch.c.  To terminate the employment of.v.intr.1.  To pack items in a bag.2.  To hang loosely: The pants bag at the knees.3.  To swell out; bulge.Phrasal Verb:  bag out To quit or abandon an activity.Idioms:  bag and baggage1.  With all one's belongings.2.  To a complete degree; entirely. bag it Slang 1.  To cease participating in an activity: Finally in disgust I told my debating opponent to bag it.2.  To bring along one's lunch, as in a paper bag: I don't like cafeteria food, so I always bag it. in the bag Assured of a successful outcome; virtually accomplished or won.[Middle English bagge, from Old Norse baggi.]bag′ful n.bag′ger n."
clothes,"the things that people wear to cover their bodies",,
clothing,"the things that people wear to cover their bodies",,
coat,"an outer piece of clothing that can be long or short and that is worn to keep warm or dry",,
dress,"an outer garment for women and girls",,
glasses,"a hard usually transparent material that is used for making windows and other products",,
handbag,"a woman's small bag or purse used for carrying personal things and money",,
hat,"a covering for the head",,
jacket,"a   :  a garment for the upper body usually having a front opening, collar, lapels, sleeves, and pockets","noun 1.a short coat, in any of various forms, usually opening down the front. 2.something designed to be placed around the upper part of the body for a specific purpose other than use as clothing: a life jacket.3.a protective outer covering. 4.the skin of a potato, especially when it has been cooked. 5.book jacket. 6.the cover of a paperbound book, usually bearing an illustration. 7.a paper or cardboard envelope for protecting a phonograph record. 8.a metal casing, as the steel covering of a cannon, the steel cover around the core of a bullet, or the water jacket on certain types of machine guns. 9.a folded paper or open envelope containing an official document. verb (used with object) 10.to put a jacket on (someone or something).","jackÂ·et Â (jăk′ĭt)n.1.  A short coat usually extending to the hips.2.  An outer covering or casing, especially:a.  The skin of a potato.b.  The dust jacket of a book or phonograph record.c.  An insulation covering for a steam pipe, wire, boiler, or similar part.d.  An open envelope or folder for filing papers.e.  The outer metal shell or case of a bullet.tr.v.  jackÂ·etÂ·ed, jackÂ·etÂ·ing, jackÂ·ets  To supply or cover with a jacket.[Middle English jaket, from Old French jaquet, diminutive of jaque, short jacket, tunic, from jacques, nickname for French peasants, from the name Jacques; see  jack.]jack′etÂ·ed adj."
jeans,"Sir James Hopwood 1877–1946 Eng. physicist, astron., & author","noun 1.Sir James (Hopwood)    [hop-woo d]  /ˈhɒp wʊd/  (Show IPA), 1877–1946, English astrophysicist and author.","jean Â (jēn)n.1.  A strong, twilled cotton, traditionally used in making uniforms and work clothes.2.   jeans Pants made of jean, denim, or another durable fabric.[Short for obsolete jene fustian, Genoan fustian, from Middle English jene, gene, from Old French Genes, Genoa.]"
