bag	"a container made of thin material (such as paper, plastic, or cloth) that opens at the top and is used for holding or carrying things"
clothes	"the things that people wear to cover their bodies and that are usually made from cloth"
clothing	"the things that people wear to cover their bodies"
coat	"an outer piece of clothing that can be long or short and that is worn to keep warm or dry"
dress	"a piece of clothing for a woman or a girl that has a top part that covers the upper body and a skirt that hangs down to cover the legs"
glasses	"a pair of glass or plastic lenses held in a frame and used to help a person see clearly or to protect the eyes"
handbag	"a woman's small bag or purse used for carrying personal things and money"
hat	"a covering for the head that often has a brim and a rounded or flat top"
jacket	"a short coat"
jeans	"pants made of denim ( a heavy cotton)"
scarf	"a piece of cloth worn loosely on the shoulders, around the neck, or on the head"
shirt	"a piece of clothing for the upper body that has sleeves and usually a collar and buttons down the front"
shoe	"an outer covering for the human foot"
skirt	"a piece of clothing worn by women and girls that hangs from the waist down"
sock	"a knitted or woven covering for the foot usually reaching past the ankle and sometimes to the knee"
sweater	"a knitted piece of clothing for the upper body which keep you warm"
trousers	"a pant, usually used in plural"
t-shirt	"a shirt that has short sleeves and no collar and that is usually made of cotton"
watch	"to look at (someone or something) for an amount of time and pay attention to what is happening"
wear	"to use or have (something) as clothing"
cap	"a especially hat that having a visor and no brim"
pants	"similar to trousers"
shoes	"plural of shoe"
