aunt,"the sister of your father or mother or the wife of your uncle",,
baby,"a very young child",,
boy,"a male child: a young man: a usually young man from a specified kind of place","noun 1.a male child, from birth to full growth, especially one less than 18 years of age. 2.a young man who lacks maturity, judgment, etc. 3.Informal. a grown man, especially when referred to familiarly: He liked to play poker with the boys.4.a son: Sam's oldest boy is helping him in the business.5.a male who is from or native to a given place. 6.boys, (used with a singular or plural verb) a range of sizes from 8 to 20 in garments made for boys. a garment in this size range. the department or section of a store where these garments are sold. 7.boys, military personnel, especially combat soldiers: Support the boys overseas.8.Disparaging and Offensive. a term used to refer to or address a man considered by the speaker to be inferior in ethnicity, nationality, or occupational status. 9.a young male servant; page. 10.Offensive. (in India, China, Japan, etc.) a native male servant, working as a butler, waiter, houseboy, etc. 11.Nautical. an apprentice seaman or fisherman. interjection, Also, oh, boy 12.an exclamation of wonder, approval, etc., or of displeasure or contempt.","boy Â (boi)n.1.  A male child.2.  A son: his youngest boy.3.  Often Offensive  A man, especially a young man.4.  Informal  A man socializing in a group of men: a night out with the boys.5.  Offensive  A male servant or employee.interj. Used to express mild astonishment, elation, or disgust: Oh boy—what a surprise![Middle English boi, male servant, churl, young male, possibly from Old French embuiÃ©, person in fetters, from past participle of embuier, to fetter, from buie, fetter, shackle, from Latin b�?ia, collar or yoke used to restrain criminals, probably from Greek boei�? (dor�?), (skin) of an ox, an ox hide (such restraints being made from ox hide), from feminine of boeios, of an ox or oxen, of ox hide, from bous, ox; see gwou- in Indo-European roots.]boy′hood′ n."
brother,"a boy or man who has one or both of the same parents as you: a man who is from the same group or country as you: a male member of a religious group","noun, plural brothers (Archaic) brethren. 1.a male offspring having both parents in common with another offspring; a male sibling. 2.Also called half brother. a male offspring having only one parent in common with another offspring. 3.a stepbrother. 4.a male numbered among the same kinship group, nationality, ethnicity, profession, etc., as another; an associate; a fellow member, fellow countryman, fellow man, etc.: a fraternity brother.5.Ecclesiastical. (often initial capital letter) a male numbered among the lay members of a religious organization that has a priesthood. a man who devotes himself to the duties of a religious order without taking holy orders, or while preparing for holy orders. 6.brothers, all members of a particular racial or ethnic group, or of the human race in general: All men are brothers.7.Slang. fellow; buddy: Brother, can you spare a dime?8.Informal. a term used to refer to or address a fellow black man; soul brother. interjection 9.Slang. (used to express disappointment, disgust, or surprise).","brothÂ·er Â (brŭth′ər)n. pl.  brothÂ·ers 1.  A male having the same parents as another or one parent in common with another.2. pl. also  brethÂ·ren (brĕth′rən)  One who shares a common ancestry, allegiance, character, or purpose with another or others, especially:a.  A kinsman.b.  A fellow man.c.  A fellow member, as of a fraternity, trade union, or panel of judges on a court.d.  A close male friend; a comrade.e.  A fellow African-American man or boy.3. pl. also  brethren  Something, such as a corporation or institution, that is regarded as a member of a class: ""A station that ... relies on corporate contributions or advertising to survive runs the risk of becoming virtually indistinguishable from its commercial brethren"" (W. John Moore).4. a.  Abbr. Br. or  Bro. A lay member of a religious order of men.b. pl. also  brethren  A fellow member of the Christian church.[Middle English, from Old English br�?thor; see bhrÄ�?ter- in Indo-European roots.]"
child,"a young person",,
children,"plural of child",,
cousin,"a child of your uncle or aunt",,
dad,"a person's father",,
daddy,"a person's father",,
daughter,"a female child",,
family,"a group of people who are related to each other",,
father,"a male parent",,
friend,"a person who you like and enjoy being with; a person who helps or supports other people",,
girl,"a female child",,
granddaughter,"a daughter of your son or daughter",,
grandfather,"the father of your father or mother",,
grandma,grandmother,,
grandmother,"the mother of your father or mother",,
grandpa,grandfather,,
grandparent,"a parent of your father or mother",,
grandson,"a son of your son or daughter",,
"grown up","  to grow toward or arrive at full stature or physical or mental maturity <growing up intellectually, socially, and physically>","adjective 1.having reached the age of maturity. 2.characteristic of or suitable for adults: grown-up behavior; grown-up fiction.","grow Â (gr�?)v.  grew (gro͞o), grown (gr�?n), growÂ·ing, grows v.intr.1.  To increase in size by a natural process.2. a.  To expand; gain: The business grew under new owners.b.  To increase in amount or degree; intensify: The suspense grew.3.  To develop and reach maturity.4.  To be capable of growth; thrive: a plant that grows in shade.5.  To become attached by or as if by the process of growth: tree trunks that had grown together.6.  To come into existence from a source; spring up: love that grew from friendship.7.  To come to be by a gradual process or by degrees; become: grow angry; grow closer.v.tr.1.  To cause to grow; raise: grow tulips.2.  To allow (something) to develop or increase by a natural process: grow a beard.3.  Usage Problem  To cause to increase or expand by concerted effort: strategies that grew the family business.Phrasal Verbs:  grow into1.  To develop so as to become: A boy grows into a man.2.  To develop or change so as to fit: She grew into her job. He grew into the relationship slowly. grow on (or upon)1.  To become gradually more evident to: A feeling of distrust grew on me.2.  To become gradually more pleasurable or acceptable to: a taste that grows on a person. grow up To become an adult.Idiom:  grow out of To develop or come into existence from: an article that grew out of a few scribbled notes.[Middle English growen, from Old English gr�?wan; see ghrÄ- in Indo-European roots.]grow′er n.grow′ingÂ·ly adv.Usage Note:  Grow has been used since medieval times as an intransitive verb, as in Our business has been growing steadily for 10 years. It has been used with an object since the 1700s, meaning ""to produce or cultivate,"" as in We grow corn in our garden. But the transitive use applied to nonliving things, often in reference to politics or business, is relatively recent, as in this quotation from the St. Louis Post-Dispatch: ""Brewing here is an option, but first we will need to grow our business so that our volume can sustain our minimum brewing requirements."" Although 80 percent of the Usage Panel in our 1994 survey rejected the phrase grow our business and only 48 percent accepted We will need to grow our way out of this recession, these usages have become very common and are likely to see continued use in business contexts."
live,"to be alive; to have a home in a specified place",,
manmen,,,
